Type,Name,Ra,Dec,Rotation,ROI
PN,M57,18h 53m 35s,"+33° 01' 44""",0,100
HII,Sh2-101,20h 00m 00s,"+35° 18' 00""",0,100
REF,NGC 7023,21h 01m 31s,"+68° 09' 29""",0,100
WR,NGC 6888,20h 12m 06s,"+38° 21' 00""",0,100
PN,M27,19h 59m 36s,"+22° 43' 16""",0,100
HII,IC 5070,20h 51m 00s,"+44° 22' 01""",0,100
SNR,NGC 6960,20h 45m 38s,"+30° 42' 29""",0,100
SNR,NGC 6992,20h 56m 19s,"+31° 44' 35""",0,100
HII,IC 1318,20h 22m 00s,"+40° 15' 00""",0,100
PN,M97,11h 14m 48s,"+55° 01' 01""",0,100
HII,NGC 7000,20h 58m 57s,"+44° 20' 13""",0,100
WR,Abell 78,21h 35m 29s,"+31° 41' 46""",0,100
HII,IC 1396,21h 38m 00s,"+57° 30' 00""",0,100
HII,Sh2-155,22h 52m 50s,"+62° 37' 01""",0,100
HII,NGC 7380,22h 46m 00s,"+58° 07' 01""",0,100
HII,NGC 7635,23h 20m 47s,"+61° 11' 49""",0,100
HII,M52,23h 24m 43s,"+61° 35' 28""",0,100
HII,NGC 7822,00h 01m 09s,"+67° 25' 16""",0,100
